league,season,game,team,player,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Crystal Palace,Takehiro Tomiyasu,17,JPN,DF,27-290,19,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Crystal Palace,Tyrick Mitchell,3,ENG,DM,26-355,90,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Crystal Palace,Yéremy Pino,10,ESP,"FW,MF",23-306,36,0,0,0,0,2,0,0,0,1,0,0,2,1,0,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Everton,Beto,9,GNB,FW,28-203,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Everton,Brennan Johnson,22,WAL,"FW,MF",25-091,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Everton,Carlos Alcaraz,24,ARG,MF,23-265,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Everton,Harrison Armstrong,45,ENG,DM,19-215,90,0,1,0,0,0,0,0,0,3,2,0,0,1,2,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Everton,Hayden Hackney,30,ENG,DM,24-057,78,0,0,0,0,1,0,0,0,1,3,0,2,1,1,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Everton,Iliman Ndiaye,10,SEN,AM,26-169,90,0,1,0,0,2,2,0,0,0,1,0,2,1,0,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Everton,James Garner,37,ENG,MF,25-162,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Everton,James Tarkowski,6,ENG,CB,33-276,90,0,0,0,0,1,0,0,0,0,2,0,0,1,3,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Everton,Jarrad Branthwaite,4,ENG,CB,24-056,90,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Everton,Jordan Pickford,1,ENG,GK,32-168,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Everton,Kiernan Dewsbury-Hall,8,ENG,AM,27-350,89,1,0,0,0,3,1,0,0,0,2,0,6,1,0,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Everton,Merlin Röhl,34,GER,RB,24-048,90,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Everton,Thierno Barry,11,FRA,FW,23-305,78,1,0,0,0,2,1,0,0,0,1,0,1,1,0,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Everton,Tyrique George,19,ENG,AM,20-199,83,0,0,0,0,5,0,0,0,0,0,1,1,0,2,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Everton,Vitaliy Mykolenko,16,UKR,LB,27-085,90,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Hull City,Bachir Belloumi,10,ALG,RM,24-082,90,0,0,0,0,2,0,0,0,2,1,0,1,1,1,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Hull City,Cody Drameh,18,ENG,"DF,MF",24-257,21,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Hull City,Elliot Stroud,21,SWE,LM,24-061,70,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Hull City,John Egan,15,IRL,CB,33-306,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Hull City,Kostas Tzolakis,19,GRE,GK,23-287,90,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Hull City,Lewie Coyle,2,ENG,RB,30-311,69,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Hull City,Liam Millar,7,CAN,"FW,MF",26-329,20,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Hull City,Lucas Herrington,22,AUS,DF,18-351,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Hull City,Matt Crooks,25,ENG,CM,32-214,90,0,0,0,0,0,0,1,0,2,1,0,0,3,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Hull City,Matt Targett,23,ENG,"DF,MF",30-338,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Hull City,Nobel Mendy,32,SEN,CB,21-353,63,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Hull City,Oliver McBurnie,9,SCO,FW,30-079,90,0,0,0,0,2,2,0,0,1,2,0,0,0,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Hull City,Paddy McNair,17,NIR,"DF,MF",31-117,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,69e3855f
ENG-Premier League,2627,2026-08-22 Hull City-Manchester Utd,Hull City,Regan Slater,27,ENG,CM,26-345,90,0,1,0,0,0,0,0,0,2,0,0,2,1,0,0,,,69e3855f
